#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 02 28 23 50 207  9.6 11.7  0.56  3.23  3.02 206 1013.1   6.3   4.5 999.0 99.0 99.00
2018 03 01 00 50 210  9.1 11.1  0.56  3.23  3.09 220 1012.6   6.3   4.4 999.0 99.0 99.00
2018 03 01 01 50 226  7.3  8.3  0.61  3.33  3.24 206 1013.1   6.1   4.4 999.0 99.0 99.00
2018 03 01 02 50 232  6.5  7.5  0.59  3.13  3.52 218 1012.7   5.7   4.4 999.0 99.0 99.00
2018 03 01 03 50 235  4.7  5.4  0.50  3.03  3.61 237 1012.4   5.4   4.4 999.0 99.0 99.00
2018 03 01 04 50 242  4.4  5.1  0.38 16.00  3.54  77 1012.4   5.5   4.4 999.0 99.0 99.00
2018 03 01 05 50 227  3.5  4.3  0.32 17.39  3.68  83 1011.9   5.4   4.7 999.0 99.0 99.00
2018 03 01 06 50 233  1.6  2.0  0.28 16.00  4.08  88 1011.6   5.2   4.9 999.0 99.0 99.00
2018 03 01 07 50 219  5.2  5.9  0.27 17.39  5.15 129 1011.1   5.3   4.9 999.0 99.0 99.00
2018 03 01 08 50 215  4.6  5.2  0.26 17.39  5.02 135 1010.7   5.4   5.0 999.0 99.0 99.00
2018 03 01 09 50 216  4.1  4.6  0.26 16.00  4.57  27 1010.6   5.3   4.9 999.0 99.0 99.00
2018 03 01 10 50 217  4.7  5.2  0.27 14.81  3.69 239 1010.4   5.2   4.7 999.0 99.0 99.00
2018 03 01 11 50 221  5.1  5.5  0.26  5.26  3.90  95 1010.7   5.3   4.6 999.0 99.0 99.00
2018 03 01 12 50 242  3.7  4.1  0.26 14.81  4.04 356 1011.3   5.7   4.4 999.0 99.0 99.00
2018 03 01 13 50 234  2.9  3.4  0.30 12.90  4.54 357 1011.0   5.4   4.5 999.0 99.0 99.00
2018 03 01 14 50 237  3.2  4.1  0.40 13.79  4.74  75 1011.2   5.1   4.5 999.0 99.0 99.00
2018 03 01 15 50 228  3.5  4.1  0.37 13.79  4.56  74 1010.9   5.4   4.6 999.0 99.0 99.00
2018 03 01 16 50 228  2.9  3.5  0.28 16.00  4.64  98 1011.3   5.6   4.7 999.0 99.0 99.00
2018 03 01 17 50 232  2.0  2.3  0.23 99.00  4.98 999 1010.7   5.8   5.1 999.0 99.0 99.00
2018 03 01 18 50 245  1.1  1.4  0.18 99.00  5.19 999 1010.5   6.1   5.4 999.0 99.0 99.00
2018 03 01 19 50  31  1.9  2.3  0.19 99.00  6.51 999 1010.4   5.9   5.4 999.0 99.0 99.00
2018 03 01 20 50  46  5.3  6.1  0.19 99.00  5.80 999 1010.5   6.2   5.4 999.0 99.0 99.00
2018 03 01 21 50  54  5.5  6.2  0.25 99.00  3.66 999 1009.8   6.5   5.3 999.0 99.0 99.00
2018 03 01 22 50  60  6.2  7.2  0.31  2.94  3.30  52 1009.0   5.4   5.2 999.0 99.0 99.00
2018 03 01 23 50  49  7.0  8.6  0.41  3.23  3.36  63 1008.6   5.4   5.1 999.0 99.0 99.00
2018 03 02 00 50  38  9.1 11.4  0.55  3.57  3.61  67 1006.9   5.1   4.9 999.0 99.0 99.00
2018 03 02 01 50  53  8.8 10.4  0.68  4.00  3.65  83 1006.8   4.8   4.7 999.0 99.0 99.00
2018 03 02 02 50  51  9.3 11.1  0.84  4.00  3.82  63 1005.8   4.8   4.6 999.0 99.0 99.00
2018 03 02 03 50  58  9.0 10.4  0.92  4.00  3.73  60 1004.9   4.9   4.6 999.0 99.0 99.00
2018 03 02 04 50  38 10.0 11.7  0.87  3.70  3.50  55 1003.8   5.0   4.7 999.0 99.0 99.00
2018 03 02 05 50  33 11.0 12.7  0.97  3.70  3.41  40 1001.7   5.2   4.9 999.0 99.0 99.00
2018 03 02 06 50  33 12.0 14.6  1.06  4.00  3.58  29  998.8   5.0   5.2 999.0 99.0 99.00
2018 03 02 07 50  33 12.1 14.1  1.18  4.17  3.80  35  997.0   5.0   5.2 999.0 99.0 99.00
2018 03 02 08 50  32 13.3 15.9  1.33  4.35  3.94  32  993.9   5.3   5.2 999.0 99.0 99.00
2018 03 02 09 50  38 12.2 14.7  1.27  4.76  3.93  37  992.8   5.7   5.2 999.0 99.0 99.00
2018 03 02 10 50  43 13.2 15.5  1.36  4.55  4.16  38  991.2   6.2   5.2 999.0 99.0 99.00
2018 03 02 11 50  35 12.9 15.1  1.49  5.00  4.46  50  989.5   6.3   5.3 999.0 99.0 99.00
2018 03 02 12 50  39 14.7 18.3  1.53  4.76  4.47  45  987.5   6.9   5.2 999.0 99.0 99.00
2018 03 02 13 50  36 15.0 18.6  1.68  5.26  4.71  38  985.3   7.0   5.1 999.0 99.0 99.00
2018 03 02 14 50  40 16.3 19.7  1.67  5.00  4.51  33  983.0   7.4   4.9 999.0 99.0 99.00
2018 03 02 15 50  38 18.3 22.2  2.22  5.26  4.70  32  980.7   7.3   5.1 999.0 99.0 99.00
2018 03 02 16 50  40 18.7 22.7  2.29  5.56  4.77  34  979.7   7.2   5.3 999.0 99.0 99.00
2018 03 02 17 50  38 18.4 23.2  2.52  5.26  4.84  37  979.5   6.8   5.4 999.0 99.0 99.00
2018 03 02 18 50  37 20.2 24.9  2.62  5.26  4.80  46  979.5   6.9   5.4 999.0 99.0 99.00
2018 03 02 19 50  32 16.2 19.2  2.60  5.26  4.79  42  983.1   6.5   5.1 999.0 99.0 99.00
2018 03 02 20 50  26 20.9 26.3  2.10  5.26  4.50  38  982.5   5.9   5.0 999.0 99.0 99.00
2018 03 02 21 50  20 20.4 25.2  2.70  5.56  5.06  39  983.7   5.1   4.9 999.0 99.0 99.00
2018 03 02 22 50  17 21.9 28.2  2.79  5.88  5.12  24  984.3   4.0   4.8 999.0 99.0 99.00
2018 03 02 23 50  19 22.1 27.2  3.18  6.25  5.46  32  986.2   3.6   4.8 999.0 99.0 99.00
2018 03 03 00 50  28 20.6 26.7  3.00  6.67  5.36  35  989.6   4.0   4.8 999.0 99.0 99.00
2018 03 03 01 50  26 21.6 27.3  2.65  5.00  5.06  34  991.7   4.2   4.8 999.0 99.0 99.00
2018 03 03 02 50  23 19.5 24.0  2.54  5.88  4.98  45  993.7   4.0   4.7 999.0 99.0 99.00
2018 03 03 03 50  17 17.0 21.4  2.36  5.56  4.76  44  995.6   3.4   4.7 999.0 99.0 99.00
2018 03 03 04 50  12 18.5 22.5  2.24  5.00  4.68  44  995.7   3.4   4.9 999.0 99.0 99.00
2018 03 03 05 50   7 17.8 22.7  2.57  5.26  4.90  41  996.8   2.8   4.7 999.0 99.0 99.00
2018 03 03 06 50   7 18.4 23.0  2.46  5.26  4.83  35  997.7   2.5   4.7 999.0 99.0 99.00
2018 03 03 07 50   5 17.2 21.3  2.51  5.56  4.98  31  998.6   2.8   4.7 999.0 99.0 99.00
2018 03 03 08 50   3 17.3 22.5  2.38  5.56  4.92  25  999.5   3.8   4.7 999.0 99.0 99.00
2018 03 03 09 50   5 16.9 20.0  1.88  5.56  4.59  21 1000.6   4.0   4.7 999.0 99.0 99.00
