#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 01 03 01 50 247  7.9  9.8  0.36  3.13  2.70 304 1025.2  -3.5   0.1 999.0 99.0 99.00
2018 01 03 02 50 256  5.2  6.5  0.40  2.86  2.69 291 1025.1  -3.5  -0.2 999.0 99.0 99.00
2018 01 03 03 50 249  8.1  9.8  0.42  2.60  2.77 281 1024.6  -2.5  -0.2 999.0 99.0 99.00
2018 01 03 04 50 295  7.5  9.1  0.45  3.33  3.11 233 1024.5  -3.1  -0.3 999.0 99.0 99.00
2018 01 03 05 50 298  9.8 11.4  0.56  3.57  3.36 264 1024.4  -3.7  -0.4 999.0 99.0 99.00
2018 01 03 06 50 304  8.0  9.4  0.79  4.55  4.06 272 1025.1  -4.2   0.3 999.0 99.0 99.00
2018 01 03 07 50 304  7.4  8.7  0.68  4.35  4.02 271 1025.5  -4.7   0.5 999.0 99.0 99.00
2018 01 03 08 50 289  6.1  7.6  0.65  4.35  3.76 267 1025.5  -4.9  -0.1 999.0 99.0 99.00
2018 01 03 09 50 263  6.2  8.0  0.57  4.35  3.41 264 1025.6  -4.4   0.1 999.0 99.0 99.00
2018 01 03 10 50 248  6.2  7.2  0.47  2.74  2.93 278 1026.1  -4.5   0.8 999.0 99.0 99.00
2018 01 03 11 50 258  5.1  6.2  0.35  3.03  2.81 258 1026.4  -4.5   1.1 999.0 99.0 99.00
2018 01 03 12 50 274  4.4  5.4  0.28  2.86  2.83 261 1026.6  -4.1   0.6 999.0 99.0 99.00
2018 01 03 13 50 261  4.0  4.9  0.23 99.00  2.94 999 1027.1  -3.5  -0.1 999.0 99.0 99.00
2018 01 03 14 50 244  4.0  5.0  0.22 99.00  3.28 999 1027.5  -3.3  -0.2 999.0 99.0 99.00
2018 01 03 15 50 238  3.1  4.1  0.22 99.00  3.73 999 1027.0  -2.9  -0.2 999.0 99.0 99.00
2018 01 03 16 50 229  2.7  4.1  0.24 99.00  4.02 999 1026.0  -2.2  -0.2 999.0 99.0 99.00
2018 01 03 17 50 236  5.6  6.6  0.26  2.74  3.15 224 1025.1  -1.0  -0.3 999.0 99.0 99.00
2018 01 03 18 50 229  6.4  7.5  0.29  2.94  3.16 222 1024.8  -0.4   0.3 999.0 99.0 99.00
2018 01 03 19 50 229  4.5  5.2  0.28  3.45  3.16 264 1024.7   0.1   0.0 999.0 99.0 99.00
2018 01 03 20 50 228  2.7  3.4  0.24 99.00  3.07 999 1023.9   0.4   0.3 999.0 99.0 99.00
2018 01 03 21 50 205  1.7  2.1  0.25  3.57  3.22 278 1022.9  -0.3   0.7 999.0 99.0 99.00
2018 01 03 22 50 194  2.0  2.4  0.22 99.00  3.12 999 1023.7  -0.2   0.7 999.0 99.0 99.00
2018 01 03 23 50 155  1.8  2.3  0.20 99.00  3.24 999 1023.9  -0.2   0.4 999.0 99.0 99.00
2018 01 04 00 50 122  2.3  2.9  0.19 99.00  2.91 999 1023.2   0.1   0.4 999.0 99.0 99.00
2018 01 04 01 50  63  1.0  1.4  0.16 99.00  3.23 999 1022.1   0.4   0.8 999.0 99.0 99.00
2018 01 04 02 50  84  2.0  2.4  0.16 99.00  3.43 999 1021.9   0.6   0.5 999.0 99.0 99.00
2018 01 04 03 50  19  2.3  2.8  0.14 99.00  3.55 999 1019.8   0.0  -0.2 999.0 99.0 99.00
2018 01 04 04 50  29  3.1  3.8  0.18 99.00  4.22 999 1018.1  -0.3  -0.2 999.0 99.0 99.00
2018 01 04 05 50  75  4.9  5.3  0.21 99.00  3.87 999 1016.2   1.4  -0.2 999.0 99.0 99.00
2018 01 04 06 50  67  6.3  7.1  0.25 99.00  2.83 999 1013.9   2.0   0.1 999.0 99.0 99.00
2018 01 04 07 50  64  6.9  8.0  0.42  2.86  2.75  75 1011.4   2.8  -0.2 999.0 99.0 99.00
2018 01 04 08 50  57  9.0 10.9  0.47  3.03  2.88  74 1008.2   3.7  -0.1 999.0 99.0 99.00
2018 01 04 09 50  62 10.7 12.5  0.67  4.00  3.09  82 1006.3   4.4   0.4 999.0 99.0 99.00
2018 01 04 10 50  55 12.1 15.0  1.01  4.76  3.69  75 1002.0   4.8   0.9 999.0 99.0 99.00
2018 01 04 11 50  51 14.0 17.0  1.09  4.17  3.97  62  998.6   4.9   0.9 999.0 99.0 99.00
2018 01 04 12 50  58 17.4 21.3  1.47  5.26  4.34  83  995.0   4.7   1.0 999.0 99.0 99.00
2018 01 04 13 50  53 15.4 20.1  2.14  5.56  4.93  70  990.4   3.9   0.6 999.0 99.0 99.00
2018 01 04 14 50  38 16.5 22.1  2.19  5.56  5.10  49  988.0   3.2   0.4 999.0 99.0 99.00
2018 01 04 15 50  25 18.2 24.8  1.98  5.56  4.73  31  982.1   2.7   0.5 999.0 99.0 99.00
2018 01 04 16 50  18 16.3 20.0  2.16  5.26  4.74  36  979.0   2.8   0.4 999.0 99.0 99.00
2018 01 04 17 50  11 18.0 22.9  2.08  4.76  4.62  33  973.6   3.2   1.8 999.0 99.0 99.00
2018 01 04 18 50 356 18.5 23.4  2.21  5.26  4.73  23  970.1   2.3   3.0 999.0 99.0 99.00
2018 01 04 19 50 350 19.8 23.8  2.46  5.88  5.03  26  967.6   1.3   3.0 999.0 99.0 99.00
2018 01 04 20 50 349 19.4 24.5  2.79  5.88  5.22   9  966.7   1.3   4.0 999.0 99.0 99.00
2018 01 04 21 50 342 19.4 27.4  2.47  6.25  5.20   5  967.7   1.5   4.6 999.0 99.0 99.00
2018 01 04 22 50 325 17.3 21.9  2.43  5.88  5.06 349  971.1   0.6   4.7 999.0 99.0 99.00
2018 01 04 23 50 306 15.0 19.2  2.02  5.56  4.86 356  974.0  -0.5   4.7 999.0 99.0 99.00
2018 01 05 00 50 294 14.6 18.0  1.74  4.76  4.32 328  977.2  -0.4   4.7 999.0 99.0 99.00
2018 01 05 01 50 292 16.6 20.3  1.73  5.00  4.10 299  979.9  -1.0   4.6 999.0 99.0 99.00
2018 01 05 02 50 293 17.3 21.2  1.84  4.55  4.03 304  982.3  -1.8   4.0 999.0 99.0 99.00
2018 01 05 03 50 289 16.3 19.7  1.80  4.35  4.04 300  985.4  -2.2   2.5 999.0 99.0 99.00
2018 01 05 04 50 281 15.9 20.4  1.74  4.76  4.12 295  987.2  -2.3   3.1 999.0 99.0 99.00
2018 01 05 05 50 279 14.7 18.2  1.65  4.76  4.24 293  988.8  -2.5   2.9 999.0 99.0 99.00
2018 01 05 06 50 282 14.0 17.4  1.50  5.00  4.32 285  990.5  -3.1   2.9 999.0 99.0 99.00
2018 01 05 07 50 276 11.6 14.3  1.36  5.00  4.40 287  991.7  -3.5   2.7 999.0 99.0 99.00
2018 01 05 08 50 268 12.9 15.7  1.26  5.00  4.35 291  992.2  -4.1   2.9 999.0 99.0 99.00
2018 01 05 09 50 276 12.7 15.7  1.36  5.00  4.40 286  992.9  -4.2   2.9 999.0 99.0 99.00
2018 01 05 10 50 272 13.9 17.0  1.29  5.00  4.27 287  993.7  -4.6   3.1 999.0 99.0 99.00
2018 01 05 11 50 275 15.6 18.9  1.46  4.76  4.18 287  994.4  -5.4   2.6 999.0 99.0 99.00
2018 01 05 12 50 274 15.3 18.7  1.53  5.00  4.03 294  995.7  -6.5   2.8 999.0 99.0 99.00
2018 01 05 13 50 283 16.1 19.4  1.46  4.55  3.84 296  997.2  -7.6   2.6 999.0 99.0 99.00
2018 01 05 14 50 278 15.4 18.1  1.52  4.76  3.86 296  998.2  -7.7   2.4 999.0 99.0 99.00
2018 01 05 15 50 280 15.7 19.0  1.67  4.76  3.89 304  998.3  -7.6   2.3 999.0 99.0 99.00
2018 01 05 16 50 272 15.4 18.8  1.59  4.55  3.94 286  998.3  -7.7   0.9 999.0 99.0 99.00
2018 01 05 17 50 272 14.8 18.0  1.59  4.76  4.08 280  998.8  -8.0   0.1 999.0 99.0 99.00
2018 01 05 18 50 278 16.0 19.7  1.62  5.00  4.33 277  999.4  -8.2   0.2 999.0 99.0 99.00
2018 01 05 19 50 280 15.4 18.8  1.56  5.26  4.53 287 1000.0  -7.7   0.6 999.0 99.0 99.00
2018 01 05 20 50 283 15.9 18.8  1.60  5.56  4.70 291 1001.0  -7.7   1.2 999.0 99.0 99.00
2018 01 05 21 50 279 15.5 18.6  1.85  5.56  4.81 285 1002.4  -7.8   2.0 999.0 99.0 99.00
2018 01 05 22 50 279 17.3 20.3  1.75  5.26  4.61 293 1003.7  -8.3   2.3 999.0 99.0 99.00
